LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,CrossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG,
10042,10042,10041,10043,10042,10043,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10043,10043,10042,10044,10043,10044,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10044,10044,10043,10045,10044,10045,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10045,10045,10044,10046,10045,10046,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10046,10046,10045,10047,10046,10047,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10047,10047,10046,10048,10047,10048,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10048,10048,10047,10049,10048,10049,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10049,10049,10048,10050,10049,10050,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10050,10050,10049,10051,10050,10051,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10051,10051,10050,10052,10051,10052,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10052,10052,10051,10053,10052,10053,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10053,10053,10052,10054,10053,10054,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10054,10054,10053,10055,10054,10055,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10055,10055,10054,10056,10055,10056,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10056,10056,10055,10057,10056,10057,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10057,10057,10056,10058,10057,10058,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10058,10058,10057,10059,10058,10059,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10059,10059,10058,10060,10059,10060,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10060,10060,10059,10061,10060,10061,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10061,10061,10060,10062,10061,10062,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10062,10062,10061,10063,10062,10063,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10063,10063,10062,10064,10063,10064,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10064,10064,10063,10065,10064,10065,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10065,10065,10064,10066,10065,10066,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10066,10066,10065,10067,10066,10067,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10067,10067,10066,10068,10067,10068,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10068,10068,10067,10069,10068,10069,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10069,10069,10068,10070,10069,10070,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10070,10070,10069,10071,10070,10071,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10071,10071,10070,10072,10071,10072,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10072,10072,10071,10073,10072,10073,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10073,10073,10072,10074,10073,10074,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10074,10074,10073,10075,10074,10075,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10075,10075,10074,10076,10075,10076,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10076,10076,10075,10077,10076,10077,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10077,10077,10076,10078,10077,10078,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10078,10078,10077,10079,10078,10079,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10079,10079,10078,10080,10079,10080,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10080,10080,10079,10081,10080,10081,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10081,10081,10080,10082,10081,10082,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10082,10082,10081,10083,10082,10083,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10083,10083,10082,10084,10083,10084,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10084,10084,10083,10085,10084,10085,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10085,10085,10084,10086,10085,10086,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10086,10086,10085,10087,10086,10087,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10087,10087,10086,10088,10087,10088,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10088,10088,10087,10089,10088,10089,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10089,10089,10088,10090,10089,10090,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
10090,10090,10089,0,10090,10091,0,0,0,0,0,0,0,0,1,1,1,0,20,20,0,0,0
